dataset_id,dataset_version,split_id,model_type,seed,exp_id,experiment_name,auc,pr_auc,brier,f1,mae,rmse,paired_significance_p
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,kriging_baseline,43000,exp_20260223_114946_f18b90,stability_research_boreholes_28_kriging_baseline_s43000,1.0,1.0,0.141524,0.666667,0.354653,0.376197,0.40924191
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,kriging_baseline,43001,exp_20260223_114946_b9561e,stability_research_boreholes_28_kriging_baseline_s43001,1.0,1.0,0.138875,0.666667,0.348918,0.372659,0.39615716
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,kriging_baseline,43002,exp_20260223_114947_88ada6,stability_research_boreholes_28_kriging_baseline_s43002,1.0,1.0,0.130071,0.666667,0.33985,0.360653,0.39860436
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,kriging_baseline,43003,exp_20260223_114947_547252,stability_research_boreholes_28_kriging_baseline_s43003,1.0,1.0,0.131905,0.666667,0.33913,0.363187,0.39438354
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,kriging_baseline,43004,exp_20260223_114948_4a8e88,stability_research_boreholes_28_kriging_baseline_s43004,1.0,1.0,0.138485,0.666667,0.353009,0.372136,0.42064279
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,geomodel_aware,43100,exp_20260223_114948_92f958,stability_research_boreholes_28_geomodel_aware_s43100,1.0,1.0,0.18995,1.0,0.43518,0.435832,0.69661117
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,geomodel_aware,43101,exp_20260223_114949_c3aacc,stability_research_boreholes_28_geomodel_aware_s43101,1.0,1.0,0.187434,1.0,0.431017,0.432936,0.68199478
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,geomodel_aware,43102,exp_20260223_114950_ca519c,stability_research_boreholes_28_geomodel_aware_s43102,1.0,1.0,0.193491,1.0,0.438375,0.439876,0.70246546
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,geomodel_aware,43103,exp_20260223_114950_eb6207,stability_research_boreholes_28_geomodel_aware_s43103,1.0,1.0,0.192328,1.0,0.438111,0.438553,0.70897575
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,geomodel_aware,43104,exp_20260223_114951_159165,stability_research_boreholes_28_geomodel_aware_s43104,1.0,1.0,0.185661,1.0,0.429017,0.430884,0.7007397
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,hybrid_augmented,43200,exp_20260223_114951_456149,stability_research_boreholes_28_hybrid_augmented_s43200,1.0,1.0,0.190972,1.0,0.435393,0.437004,0.67884914
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,hybrid_augmented,43201,exp_20260223_114952_dc9570,stability_research_boreholes_28_hybrid_augmented_s43201,1.0,1.0,0.191281,1.0,0.435753,0.437356,0.64691753
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,hybrid_augmented,43202,exp_20260223_114952_98f586,stability_research_boreholes_28_hybrid_augmented_s43202,1.0,1.0,0.186361,1.0,0.430522,0.431695,0.69552692
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,hybrid_augmented,43203,exp_20260223_114953_3fc1e6,stability_research_boreholes_28_hybrid_augmented_s43203,1.0,1.0,0.176758,1.0,0.419411,0.420426,0.6654501
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,hybrid_augmented,43204,exp_20260223_114953_a62c55,stability_research_boreholes_28_hybrid_augmented_s43204,1.0,1.0,0.171904,1.0,0.412393,0.414613,0.65305894
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,geomodel_ablation,43300,exp_20260223_114954_95f7ae,stability_research_boreholes_28_geomodel_ablation_s43300,1.0,1.0,0.176129,1.0,0.417802,0.419677,0.66195787
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,geomodel_ablation,43301,exp_20260223_114954_be9714,stability_research_boreholes_28_geomodel_ablation_s43301,1.0,1.0,0.190144,0.8,0.433912,0.436055,0.67641426
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,geomodel_ablation,43302,exp_20260223_114955_bcaa75,stability_research_boreholes_28_geomodel_ablation_s43302,1.0,1.0,0.194668,0.8,0.439551,0.441212,0.69331557
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,geomodel_ablation,43303,exp_20260223_114955_8cf1f9,stability_research_boreholes_28_geomodel_ablation_s43303,1.0,1.0,0.180815,1.0,0.423823,0.425224,0.69016426
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,geomodel_ablation,43304,exp_20260223_114956_9347e1,stability_research_boreholes_28_geomodel_ablation_s43304,1.0,1.0,0.175544,1.0,0.417454,0.41898,0.67607825
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,pinchout_no_zoning,43400,exp_20260223_114956_fd5408,stability_research_boreholes_28_pinchout_no_zoning_s43400,0.75,0.833333,0.190968,0.666667,0.429169,0.436999,0.85485334
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,pinchout_no_zoning,43401,exp_20260223_114957_be0e40,stability_research_boreholes_28_pinchout_no_zoning_s43401,1.0,1.0,0.193578,0.666667,0.433341,0.439975,0.8580754
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,pinchout_no_zoning,43402,exp_20260223_114957_0bfea7,stability_research_boreholes_28_pinchout_no_zoning_s43402,1.0,1.0,0.191112,0.666667,0.431249,0.437164,0.86014088
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,pinchout_no_zoning,43403,exp_20260223_114958_e8a9c1,stability_research_boreholes_28_pinchout_no_zoning_s43403,1.0,1.0,0.189362,0.666667,0.428322,0.435158,0.856867
research_boreholes_28,13d60b4df0dbf296,split_20260222_060239_1fa211,pinchout_no_zoning,43404,exp_20260223_114958_0ad0ed,stability_research_boreholes_28_pinchout_no_zoning_s43404,0.75,0.833333,0.195715,0.666667,0.432188,0.442397,0.84642386
research_boreholes_36,ae5f476a1eb0d25c,split_20260222_134800_0efe6a,kriging_baseline,44000,exp_20260223_114959_a44c96,stability_research_boreholes_36_kriging_baseline_s44000,0.666667,0.638889,0.236916,0.4,0.472987,0.48674,0.0430505
research_boreholes_36,ae5f476a1eb0d25c,split_20260222_134800_0efe6a,kriging_baseline,44001,exp_20260223_115000_db9d10,stability_research_boreholes_36_kriging_baseline_s44001,0.666667,0.638889,0.22837,0.4,0.466272,0.477881,0.04800996
